Ticket Nr,Sub Nr,Log Type,Trade Date Time,Scale Nr,Void Type,Sales Type,PLU Nr,PLU Name,Weight,Weight Unit,Quantity,Unit Price,Total Price,Effective Price,Trade Date,Trade Time
437,1,Details,2020-09-10 14:04:54,126,Cancel,Normal,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,14:04:54
454,1,Details,2020-09-10 14:04:36,48,Cancel,Normal,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,14:04:36
436,1,Details,2020-09-10 14:03:55,126,Normal,Normal,100,PORK LAMAN,0.572,kg,1.0,209.0,119.5,119.5,2020-09-10,14:03:55
761,1,Details,2020-09-10 14:03:01,136,Cancel,Normal,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,14:03:01
453,1,Details,2020-09-10 13:55:30,48,Normal,Normal,520,Chicharon-Bituka,0.0,PCS,2.0,14.0,28.0,28.0,2020-09-10,13:55:30
453,2,Details,2020-09-10 13:57:50,48,Normal,Normal,126,Pork ribs,1.094,kg,1.0,249.0,272.5,272.5,2020-09-10,13:57:50
453,3,Details,2020-09-10 13:58:48,48,Normal,Normal,210,beef giniling,0.27,kg,1.0,352.0,95.0,95.0,2020-09-10,13:58:48
453,4,Details,2020-09-10 13:59:36,48,Normal,Normal,250,beef bulalo,0.652,kg,1.0,352.0,229.5,229.5,2020-09-10,13:59:36
453,5,Details,2020-09-10 14:01:50,48,Normal,Normal,420,Smoked Bacon,0.268,kg,1.0,549.0,147.25,147.25,2020-09-10,14:01:50
760,1,Details,2020-09-10 14:01:59,136,Cancel,Normal,520,Chicharon-Bituka,0.0,PCS,1.0,14.0,14.0,14.0,2020-09-10,14:01:59
759,1,Details,2020-09-10 13:58:15,136,Normal,Normal,990,Sandwich,0.0,PCS,4.0,45.0,180.0,180.0,2020-09-10,13:58:15
758,1,Details,2020-09-10 13:53:52,136,Normal,Normal,435,Longanisa,0.614,kg,1.0,362.0,222.25,222.25,2020-09-10,13:53:52
758,2,Details,2020-09-10 13:55:19,136,Normal,Normal,110,Pork giniling,0.516,kg,1.0,231.0,119.25,119.25,2020-09-10,13:55:19
757,1,Details,2020-09-10 13:51:21,136,Normal,Normal,260,beef balat,2.604,kg,1.0,89.0,231.75,231.75,2020-09-10,13:51:21
756,1,Details,2020-09-10 13:41:09,136,Normal,Normal,282,beef baga,3.918,kg,1.0,99.0,388.0,388.0,2020-09-10,13:41:09
435,1,Details,2020-09-10 13:32:46,126,Normal,Normal,435,Longanisa,1.156,kg,1.0,362.0,418.5,418.5,2020-09-10,13:32:46
434,1,Details,2020-09-10 13:24:11,126,Normal,Normal,300,chicken fresh,2.876,kg,1.0,159.0,457.25,457.25,2020-09-10,13:24:11
755,1,Details,2020-09-10 13:00:51,136,Normal,Normal,230,beef buto-buto 1,1.002,kg,1.0,269.0,269.5,269.5,2020-09-10,13:00:51
754,1,Details,2020-09-10 12:34:59,136,Normal,Normal,110,Pork giniling,0.502,kg,1.0,231.0,116.0,116.0,2020-09-10,12:34:59
754,2,Details,2020-09-10 12:38:09,136,Normal,Normal,230,beef buto-buto 1,2.094,kg,1.0,269.0,563.25,563.25,2020-09-10,12:38:09
754,3,Details,2020-09-10 12:38:15,136,Normal,Normal,100,PORK LAMAN,0.486,kg,1.0,209.0,101.5,101.5,2020-09-10,12:38:15
452,1,Details,2020-09-10 12:10:20,48,Normal,Normal,140,Pork kinalas,1.316,kg,1.0,169.0,222.5,222.5,2020-09-10,12:10:20
451,1,Details,2020-09-10 12:07:18,48,Normal,Normal,280,beef liver,2.036,kg,1.0,152.0,309.5,309.5,2020-09-10,12:07:18
753,1,Details,2020-09-10 11:52:24,136,Normal,Normal,420,Smoked Bacon,0.468,kg,1.0,549.0,257.0,257.0,2020-09-10,11:52:24
753,2,Details,2020-09-10 11:52:46,136,Normal,Normal,118,Bacon sliced/skinless liempo,0.47,kg,1.0,385.0,181.0,181.0,2020-09-10,11:52:46
753,3,Details,2020-09-10 11:54:15,136,Normal,Normal,210,beef giniling,0.142,kg,1.0,352.0,50.0,50.0,2020-09-10,11:54:15
752,1,Details,2020-09-10 11:42:24,136,Normal,Normal,110,Pork giniling,1.058,kg,1.0,231.0,244.5,244.5,2020-09-10,11:42:24
450,1,Details,2020-09-10 11:01:14,48,Normal,Normal,204,beef sirlion/rump/porterhouse,1.154,kg,1.0,469.0,541.25,541.25,2020-09-10,11:01:14
450,2,Details,2020-09-10 11:05:22,48,Normal,Normal,112,Pork liempo,1.59,kg,1.0,359.0,570.75,570.75,2020-09-10,11:05:22
450,3,Details,2020-09-10 11:06:42,48,Normal,Normal,464,Marinated Porkchop,0.738,kg,1.0,356.0,262.75,262.75,2020-09-10,11:06:42
449,1,Details,2020-09-10 11:05:26,48,Normal,Normal,990,Sandwich,0.0,PCS,1.0,45.0,45.0,45.0,2020-09-10,11:05:26
751,1,Details,2020-09-10 11:05:00,136,Normal,Normal,130,Pork buto buto,0.546,kg,1.0,189.0,103.25,103.25,2020-09-10,11:05:00
750,1,Details,2020-09-10 10:58:08,136,Normal,Normal,300,chicken fresh,2.968,kg,1.0,159.0,472.0,472.0,2020-09-10,10:58:08
750,2,Details,2020-09-10 10:59:08,136,Normal,Normal,110,Pork giniling,1.016,kg,1.0,231.0,234.75,234.75,2020-09-10,10:59:08
750,3,Details,2020-09-10 10:59:18,136,Normal,Normal,124,Porkchop-batok,2.122,kg,1.0,179.0,379.75,379.75,2020-09-10,10:59:18
750,4,Details,2020-09-10 11:01:06,136,Normal,Normal,808,Hungarian sausage,0.0,PCS,1.0,139.0,139.0,139.0,2020-09-10,11:01:06
750,5,Details,2020-09-10 11:03:35,136,Normal,Normal,100,PORK LAMAN,2.016,kg,1.0,209.0,421.25,421.25,2020-09-10,11:03:35
448,1,Details,2020-09-10 10:36:11,48,Normal,Normal,610,Red Onion,0.16,kg,1.0,125.0,20.0,20.0,2020-09-10,10:36:11
448,2,Details,2020-09-10 10:36:33,48,Normal,Normal,630,Patatas,0.192,kg,1.0,89.0,17.0,17.0,2020-09-10,10:36:33
448,3,Details,2020-09-10 10:36:50,48,Normal,Normal,695,Calamansi,0.068,kg,1.0,88.0,6.0,6.0,2020-09-10,10:36:50
433,1,Details,2020-09-10 10:35:02,126,Normal,Normal,304,Chicken Breast,0.638,kg,1.0,189.0,120.5,120.5,2020-09-10,10:35:02
432,1,Details,2020-09-10 10:19:00,126,Normal,Normal,270,beef paksiwin,1.03,kg,1.0,197.0,203.0,203.0,2020-09-10,10:19:00
432,2,Details,2020-09-10 10:21:09,126,Normal,Normal,260,beef balat,1.01,kg,1.0,89.0,90.0,90.0,2020-09-10,10:21:09
447,1,Details,2020-09-10 10:13:08,48,Normal,Normal,990,Sandwich,0.0,PCS,1.0,45.0,45.0,45.0,2020-09-10,10:13:08
431,1,Details,2020-09-10 10:08:48,126,Normal,Normal,410,Ham,0.162,kg,1.0,489.0,79.25,79.25,2020-09-10,10:08:48
431,2,Details,2020-09-10 10:08:56,126,Normal,Normal,747,Korean Kimchi,0.0,PCS,2.0,150.0,300.0,300.0,2020-09-10,10:08:56
431,3,Details,2020-09-10 10:09:11,126,Normal,Normal,209,Beef Shortplate-impt,0.652,kg,1.0,669.0,436.25,436.25,2020-09-10,10:09:11
431,4,Details,2020-09-10 10:10:00,126,Normal,Normal,575,fresh Tokwa,0.0,PCS,2.0,13.0,26.0,26.0,2020-09-10,10:10:00
430,1,Details,2020-09-10 10:02:44,126,Normal,Normal,240,beef kinalas,0.548,kg,1.0,214.0,117.25,117.25,2020-09-10,10:02:44
749,1,Details,2020-09-10 09:51:20,136,Normal,Normal,118,Bacon sliced/skinless liempo,1.016,kg,1.0,385.0,391.25,391.25,2020-09-10,09:51:20
749,2,Details,2020-09-10 09:52:44,136,Normal,Normal,270,beef paksiwin,1.074,kg,1.0,197.0,211.5,211.5,2020-09-10,09:52:44
749,3,Details,2020-09-10 09:59:32,136,Normal,Normal,110,Pork giniling,0.516,kg,1.0,231.0,119.25,119.25,2020-09-10,09:59:32
446,1,Details,2020-09-10 09:00:31,48,Normal,Normal,616,Luya,0.122,kg,1.0,199.0,24.25,24.25,2020-09-10,09:00:31
748,1,Details,2020-09-09 17:51:49,136,Normal,Normal,120,Pork Chops,0.406,kg,1.0,239.0,97.0,97.0,2020-09-09,17:51:49
445,1,Details,2020-09-09 18:38:14,48,Normal,Normal,130,Pork buto buto,1.09,kg,1.0,189.0,206.0,206.0,2020-09-09,18:38:14
445,2,Details,2020-09-09 18:38:21,48,Normal,Normal,642,B. Petchay,0.508,kg,1.0,75.0,38.0,38.0,2020-09-09,18:38:21
445,3,Details,2020-09-09 18:38:41,48,Normal,Normal,630,Patatas,0.776,kg,1.0,89.0,69.0,69.0,2020-09-09,18:38:41
444,1,Details,2020-09-09 18:36:21,48,Cancel,Normal,266,beef soup#5,2.174,kg,1.0,229.0,497.75,497.75,2020-09-09,18:36:21
444,2,Details,2020-09-09 18:36:58,48,Normal,Normal,267,beef soup#5 canteen,2.174,kg,1.0,199.0,432.75,432.75,2020-09-09,18:36:58
443,1,Details,2020-09-09 18:35:25,48,Normal,Normal,610,Red Onion,0.286,kg,1.0,125.0,35.75,35.75,2020-09-09,18:35:25
442,1,Details,2020-09-09 18:18:10,48,Normal,Normal,100,PORK LAMAN,1.052,kg,1.0,209.0,219.75,219.75,2020-09-09,18:18:10
442,2,Details,2020-09-09 18:18:35,48,Normal,Normal,270,beef paksiwin,1.098,kg,1.0,197.0,216.25,216.25,2020-09-09,18:18:35
441,1,Details,2020-09-09 18:16:39,48,Normal,Normal,608,Sayote,0.456,kg,1.0,31.0,14.25,14.25,2020-09-09,18:16:39
429,1,Details,2020-09-09 17:56:37,126,Cancel,Normal,230,beef buto-buto 1,0.632,kg,1.0,299.0,189.0,189.0,2020-09-09,17:56:37
429,2,Details,2020-09-09 17:58:57,126,Normal,Normal,230,beef buto-buto 1,0.836,kg,1.0,299.0,250.0,250.0,2020-09-09,17:58:57
440,1,Details,2020-09-09 17:52:49,48,Cancel,Normal,120,Pork Chops,0.406,kg,1.0,239.0,97.0,97.0,2020-09-09,17:52:49
428,1,Details,2020-09-09 17:45:56,126,Normal,Normal,308,chicken Wings,0.674,kg,1.0,189.0,127.5,127.5,2020-09-09,17:45:56
747,1,Details,2020-09-09 17:36:23,136,Normal,Normal,240,beef kinalas,0.816,kg,1.0,214.0,174.5,174.5,2020-09-09,17:36:23
747,2,Details,2020-09-09 17:37:36,136,Normal,Normal,100,PORK LAMAN,1.074,kg,1.0,209.0,224.5,224.5,2020-09-09,17:37:36
747,3,Details,2020-09-09 17:39:28,136,Normal,Normal,180,Pork liver,1.05,kg,1.0,119.0,125.0,125.0,2020-09-09,17:39:28
439,1,Details,2020-09-09 17:26:31,48,Normal,Normal,630,Patatas,0.212,kg,1.0,89.0,18.75,18.75,2020-09-09,17:26:31
439,2,Details,2020-09-09 17:26:50,48,Normal,Normal,618,Carrots,0.142,kg,1.0,75.0,10.75,10.75,2020-09-09,17:26:50
746,1,Details,2020-09-09 17:22:42,136,Normal,Normal,100,PORK LAMAN,1.044,kg,1.0,209.0,218.25,218.25,2020-09-09,17:22:42
746,2,Details,2020-09-09 17:25:23,136,Normal,Normal,110,Pork giniling,0.554,kg,1.0,231.0,128.0,128.0,2020-09-09,17:25:23
438,1,Details,2020-09-09 17:25:21,48,Normal,Normal,642,B. Petchay,0.574,kg,1.0,75.0,43.0,43.0,2020-09-09,17:25:21
745,1,Details,2020-09-09 17:24:43,136,Normal,Normal,250,beef bulalo,1.544,kg,1.0,352.0,543.5,543.5,2020-09-09,17:24:43
437,1,Details,2020-09-09 17:24:40,48,Normal,Normal,170,Pork kalinawan,2.276,kg,1.0,59.0,134.25,134.25,2020-09-09,17:24:40
427,1,Details,2020-09-09 17:21:48,126,Normal,Normal,232,beef buto buto 2,0.444,kg,1.0,229.0,101.75,101.75,2020-09-09,17:21:48
427,2,Details,2020-09-09 17:22:37,126,Normal,Normal,230,beef buto-buto 1,0.842,kg,1.0,299.0,251.75,251.75,2020-09-09,17:22:37
436,1,Details,2020-09-09 17:20:20,48,Normal,Normal,100,PORK LAMAN,1.006,kg,1.0,209.0,210.25,210.25,2020-09-09,17:20:20
426,1,Details,2020-09-09 17:07:58,126,Normal,Normal,100,PORK LAMAN,1.118,kg,1.0,209.0,233.75,233.75,2020-09-09,17:07:58
426,2,Details,2020-09-09 17:08:44,126,Normal,Normal,100,PORK LAMAN,0.644,kg,1.0,209.0,134.5,134.5,2020-09-09,17:08:44
426,3,Details,2020-09-09 17:11:31,126,Normal,Normal,110,Pork giniling,0.522,kg,1.0,231.0,120.5,120.5,2020-09-09,17:11:31
426,4,Details,2020-09-09 17:13:05,126,Normal,Normal,435,Longanisa,0.54,kg,1.0,362.0,195.5,195.5,2020-09-09,17:13:05
435,1,Details,2020-09-09 17:05:01,48,Normal,Normal,110,Pork giniling,1.288,kg,1.0,231.0,297.5,297.5,2020-09-09,17:05:01
435,2,Details,2020-09-09 17:05:11,48,Normal,Normal,618,Carrots,0.398,kg,1.0,75.0,29.75,29.75,2020-09-09,17:05:11
744,1,Details,2020-09-09 16:56:48,136,Normal,Normal,232,beef buto buto 2,0.994,kg,1.0,229.0,227.75,227.75,2020-09-09,16:56:48
425,1,Details,2020-09-09 16:54:02,126,Normal,Normal,210,beef giniling,0.254,kg,1.0,352.0,89.5,89.5,2020-09-09,16:54:02
743,1,Details,2020-09-09 16:52:00,136,Cancel,Normal,411,Ham-canteen,0.534,kg,1.0,479.0,255.75,255.75,2020-09-09,16:52:00
743,2,Details,2020-09-09 16:53:13,136,Normal,Normal,422,smoked bacon-whole,0.356,kg,1.0,549.0,195.5,195.5,2020-09-09,16:53:13
434,1,Details,2020-09-09 16:43:02,48,Normal,Normal,104,Pork laman pure,2.09,kg,1.0,271.0,566.5,566.5,2020-09-09,16:43:02
434,2,Details,2020-09-09 16:44:06,48,Normal,Normal,440,Peperoni sausage,0.534,kg,1.0,476.0,254.25,254.25,2020-09-09,16:44:06
424,1,Details,2020-09-09 16:38:58,126,Normal,Normal,270,beef paksiwin,1.016,kg,1.0,197.0,200.25,200.25,2020-09-09,16:38:58
742,1,Details,2020-09-09 16:30:50,136,Normal,Normal,100,PORK LAMAN,1.078,kg,1.0,209.0,225.25,225.25,2020-09-09,16:30:50
742,2,Details,2020-09-09 16:31:21,136,Normal,Normal,130,Pork buto buto,0.652,kg,1.0,189.0,123.25,123.25,2020-09-09,16:31:21
742,3,Details,2020-09-09 16:31:45,136,Normal,Normal,112,Pork liempo,0.604,kg,1.0,359.0,216.75,216.75,2020-09-09,16:31:45
433,1,Details,2020-09-09 16:20:04,48,Normal,Normal,112,Pork liempo,0.934,kg,1.0,359.0,335.25,335.25,2020-09-09,16:20:04
432,1,Details,2020-09-09 16:20:41,48,Normal,Normal,695,Calamansi,0.102,kg,1.0,88.0,9.0,9.0,2020-09-09,16:20:41
741,1,Details,2020-09-09 16:10:07,136,Normal,Normal,650,Tomato /LOCAL,0.364,kg,1.0,88.0,32.0,32.0,2020-09-09,16:10:07
741,2,Details,2020-09-09 16:11:36,136,Normal,Normal,180,Pork liver,0.634,kg,1.0,119.0,75.5,75.5,2020-09-09,16:11:36
741,3,Details,2020-09-09 16:12:04,136,Normal,Normal,130,Pork buto buto,0.614,kg,1.0,189.0,116.0,116.0,2020-09-09,16:12:04
740,1,Details,2020-09-09 16:06:54,136,Normal,Normal,210,beef giniling,0.506,kg,1.0,352.0,178.0,178.0,2020-09-09,16:06:54
740,2,Details,2020-09-09 16:09:04,136,Normal,Normal,200,beef laman,0.51,kg,1.0,357.0,182.0,182.0,2020-09-09,16:09:04
739,1,Details,2020-09-09 15:56:56,136,Normal,Normal,202,beef steak,3.076,kg,1.0,432.0,1328.75,1328.75,2020-09-09,15:56:56
739,2,Details,2020-09-09 15:57:04,136,Normal,Normal,202,beef steak,3.076,kg,1.0,432.0,1328.75,1328.75,2020-09-09,15:57:04
739,3,Details,2020-09-09 15:57:53,136,Normal,Normal,192,Pork backfat,0.612,kg,1.0,82.0,50.25,50.25,2020-09-09,15:57:53
739,4,Details,2020-09-09 15:58:11,136,Normal,Normal,192,Pork backfat,0.662,kg,1.0,82.0,54.25,54.25,2020-09-09,15:58:11
431,1,Details,2020-09-09 15:56:20,48,Normal,Normal,126,Pork ribs,2.112,kg,1.0,249.0,526.0,526.0,2020-09-09,15:56:20
431,2,Details,2020-09-09 15:58:10,48,Normal,Normal,100,PORK LAMAN,1.022,kg,1.0,209.0,213.5,213.5,2020-09-09,15:58:10
738,1,Details,2020-09-09 15:46:21,136,Normal,Normal,230,beef buto-buto 1,0.718,kg,1.0,299.0,214.75,214.75,2020-09-09,15:46:21
737,1,Details,2020-09-09 15:38:53,136,Normal,Normal,104,Pork laman pure,1.02,kg,1.0,271.0,276.5,276.5,2020-09-09,15:38:53
737,2,Details,2020-09-09 15:42:42,136,Normal,Normal,100,PORK LAMAN,1.126,kg,1.0,209.0,235.25,235.25,2020-09-09,15:42:42
430,1,Details,2020-09-09 15:22:40,48,Normal,Normal,640,Cabbage,0.166,kg,1.0,69.0,11.5,11.5,2020-09-09,15:22:40
736,1,Details,2020-09-09 15:21:08,136,Normal,Normal,110,Pork giniling,0.276,kg,1.0,231.0,63.75,63.75,2020-09-09,15:21:08
736,2,Details,2020-09-09 15:21:37,136,Normal,Normal,200,beef laman,0.592,kg,1.0,357.0,211.25,211.25,2020-09-09,15:21:37
423,1,Details,2020-09-09 15:10:45,126,Normal,Normal,110,Pork giniling,1.026,kg,1.0,231.0,237.0,237.0,2020-09-09,15:10:45
423,2,Details,2020-09-09 15:12:03,126,Normal,Normal,464,Marinated Porkchop,0.758,kg,1.0,356.0,269.75,269.75,2020-09-09,15:12:03
429,1,Details,2020-09-09 15:05:15,48,Normal,Normal,305,Chicken Thigh,1.014,kg,1.0,179.0,181.5,181.5,2020-09-09,15:05:15
735,1,Details,2020-09-09 15:00:00,136,Normal,Normal,250,beef bulalo,0.902,kg,1.0,352.0,317.5,317.5,2020-09-09,15:00:00
735,2,Details,2020-09-09 15:01:09,136,Normal,Normal,234,beef paypay,0.564,kg,1.0,315.0,177.75,177.75,2020-09-09,15:01:09
428,1,Details,2020-09-09 15:00:15,48,Normal,Normal,118,Bacon sliced/skinless liempo,0.33,kg,1.0,385.0,127.0,127.0,2020-09-09,15:00:15
734,1,Details,2020-09-09 14:46:34,136,Normal,Normal,124,Porkchop-batok,1.512,kg,1.0,179.0,270.75,270.75,2020-09-09,14:46:34
734,2,Details,2020-09-09 14:48:02,136,Normal,Normal,100,PORK LAMAN,1.024,kg,1.0,209.0,214.0,214.0,2020-09-09,14:48:02
734,3,Details,2020-09-09 14:49:33,136,Normal,Normal,110,Pork giniling,0.938,kg,1.0,231.0,216.75,216.75,2020-09-09,14:49:33
734,4,Details,2020-09-09 14:50:32,136,Normal,Normal,130,Pork buto buto,1.35,kg,1.0,189.0,255.25,255.25,2020-09-09,14:50:32
733,1,Details,2020-09-09 14:47:10,136,Normal,Normal,124,Porkchop-batok,1.086,kg,1.0,179.0,194.5,194.5,2020-09-09,14:47:10
733,2,Details,2020-09-09 14:47:56,136,Normal,Normal,100,PORK LAMAN,1.008,kg,1.0,209.0,210.75,210.75,2020-09-09,14:47:56
733,3,Details,2020-09-09 14:49:38,136,Normal,Normal,202,beef steak,0.556,kg,1.0,432.0,240.25,240.25,2020-09-09,14:49:38
422,1,Details,2020-09-09 14:45:17,126,Normal,Normal,298,Dogfood,0.906,kg,1.0,77.0,69.75,69.75,2020-09-09,14:45:17
732,1,Details,2020-09-09 14:36:56,136,Normal,Normal,304,Chicken Breast,1.266,kg,1.0,169.0,214.0,214.0,2020-09-09,14:36:56
732,2,Details,2020-09-09 14:41:28,136,Normal,Normal,298,Dogfood,1.078,kg,1.0,77.0,83.0,83.0,2020-09-09,14:41:28
421,1,Details,2020-09-09 14:38:09,126,Normal,Normal,747,Korean Kimchi,0.0,PCS,1.0,150.0,150.0,150.0,2020-09-09,14:38:09
731,1,Details,2020-09-09 14:34:38,136,Normal,Normal,118,Bacon sliced/skinless liempo,0.514,kg,1.0,385.0,198.0,198.0,2020-09-09,14:34:38
731,2,Details,2020-09-09 14:35:14,136,Normal,Normal,600,Lettuce-whole,0.218,kg,1.0,289.0,63.0,63.0,2020-09-09,14:35:14
731,3,Details,2020-09-09 14:36:38,136,Normal,Normal,202,beef steak,0.548,kg,1.0,432.0,236.75,236.75,2020-09-09,14:36:38
731,4,Details,2020-09-09 14:37:04,136,Normal,Normal,112,Pork liempo,1.036,kg,1.0,359.0,372.0,372.0,2020-09-09,14:37:04
427,1,Details,2020-09-09 14:27:47,48,Normal,Normal,678,Org.Turmeric,0.072,kg,1.0,189.0,13.5,13.5,2020-09-09,14:27:47
426,1,Details,2020-09-09 14:26:22,48,Normal,Normal,650,Tomato /LOCAL,0.192,kg,1.0,88.0,17.0,17.0,2020-09-09,14:26:22
420,1,Details,2020-09-09 14:24:17,126,Normal,Normal,230,beef buto-buto 1,0.6,kg,1.0,299.0,179.5,179.5,2020-09-09,14:24:17
420,2,Details,2020-09-09 14:26:03,126,Normal,Normal,118,Bacon sliced/skinless liempo,0.546,kg,1.0,385.0,210.25,210.25,2020-09-09,14:26:03
425,1,Details,2020-09-09 14:22:35,48,Normal,Normal,630,Patatas,0.398,kg,1.0,89.0,35.5,35.5,2020-09-09,14:22:35
425,2,Details,2020-09-09 14:22:41,48,Normal,Normal,611,W. Onion,0.186,kg,1.0,99.0,18.5,18.5,2020-09-09,14:22:41
425,3,Details,2020-09-09 14:22:51,48,Normal,Normal,652,Bellpeper,0.078,kg,1.0,162.0,12.75,12.75,2020-09-09,14:22:51
425,4,Details,2020-09-09 14:23:00,48,Normal,Normal,618,Carrots,0.118,kg,1.0,75.0,8.75,8.75,2020-09-09,14:23:00
425,5,Details,2020-09-09 14:23:05,48,Normal,Normal,640,Cabbage,0.524,kg,1.0,69.0,36.25,36.25,2020-09-09,14:23:05
425,6,Details,2020-09-09 14:23:36,48,Normal,Normal,990,Sandwich,0.0,PCS,1.0,45.0,45.0,45.0,2020-09-09,14:23:36
730,1,Details,2020-09-09 14:15:35,136,Normal,Normal,118,Bacon sliced/skinless liempo,0.418,kg,1.0,385.0,161.0,161.0,2020-09-09,14:15:35
730,2,Details,2020-09-09 14:16:03,136,Normal,Normal,130,Pork buto buto,0.612,kg,1.0,189.0,115.75,115.75,2020-09-09,14:16:03
730,3,Details,2020-09-09 14:16:58,136,Normal,Normal,264,beef buntot,0.586,kg,1.0,345.0,202.25,202.25,2020-09-09,14:16:58
730,4,Details,2020-09-09 14:17:32,136,Normal,Normal,230,beef buto-buto 1,0.552,kg,1.0,299.0,165.0,165.0,2020-09-09,14:17:32
730,5,Details,2020-09-09 14:18:54,136,Normal,Normal,306,Chicken Drumstick,1.056,kg,1.0,194.0,204.75,204.75,2020-09-09,14:18:54
730,6,Details,2020-09-09 14:19:35,136,Normal,Normal,100,PORK LAMAN,0.588,kg,1.0,209.0,123.0,123.0,2020-09-09,14:19:35
729,1,Details,2020-09-09 14:18:07,136,Normal,Normal,230,beef buto-buto 1,0.536,kg,1.0,299.0,160.25,160.25,2020-09-09,14:18:07
